Linearna ogrinjača: lastnosti;"- je najmanjši vektroski podprostor v \(V\), ki vsebuje vektorje \(v_1, ..., v_k\)
- vektorji \(v_1, ..., v_k\) napenjajo / razpenjajo linearno ogrinjačo";LA-05
Vektorski podprostor: lastnosti;"- vsakk vektorski prostor vsebuje \(0\)
- vsak vektor v vektorskem podprostoru vsebuje nasprotni elementi v tem podprostoru
- vssak vektorski podprostor je tudi vektorski prostor";LA-05
Simetrična matrika: def;"Za matrike \(\mathbb{R}^{n \times n}\) pravimo, da je simetrična, če velja, je enaka \(A = A^T\)
\((A=[a_{ij}]: a_{ij} = a_{ji})\)";LA-05
Vektorski prostor: linearna kombinacija;:: \(u,v \in V \ \alpha, \beta \in \mathbb{R} \);LA-05
Linearna ogrinjača: def;":: \(V\) vektorski prostor in \(v_1, ..., v_k \in V\)
\(L\{ v_1, ..., v_u  \} = \{ \alpha_1 v_1 + ... + \alpha_v; \alpha_1, ..., \alpha_k \in \mathbb{R}\}\)
imenujemo linearna ogrinjača";LA-05
Ničelni prostor matrike: def;"Za matriko \(A \in \mathbb{R}^{m \times n}\) imenujemo
\(N(A) = \{\vec{x} \in \mathbb{R}^n; A\vec{x} = \vec{0}\} \subseteq \mathbb{R}^n\) ničelni prostor matrike \(A\)
- \(N(1)\) je vektorski podprostor v \(\mathbb{R}^n\)";LA-05
Vektorski prostor: lastnostni;;LA-05
Vektorski prostor: def;"(Realni) vektrosski prostor \(V\) je množica elementov, ki jih imienujemo vektorji \(v \in V\), skupaj z dvema notranjima operacijama:
- seštevanje vektorjev";LA-05
Vektorski podprostor: trditev;"\(U\) podnožica vektroskega prostora \(V\):
- \(U\) zaprt za seštevanje in množenje s skalarjem
- \(U\) zaprt za linerne kombinacije";LA-05
Vektorski podprostor: definicija;":: \(V\) vektorski prostor
Podmnožica \(u \subseteq V\) je vektorki podprostor v \(V\), če:
- \(+\) je notranja operacija: \(u_1, u_2 \in U \Rightarrow u_1 + u_2 \in U\)
- \(\cdot\) je notranja operacija: \(u \in U, \ \alpha \in \mathbb{R} \Rightarrow \alpha u \in U\)";LA-05
